txHash,blockNumber,gasUsed,operatorGas,overhead,operatorCalls
0x0a9d0a1125bdcbf41d630fd21f7610e2e7e742498ed4474847d9d112831bc9f7,22673600,118396,16074,0.13576472178114127,2
0x850cd30f78c9d83ef8b8da41717078479043ffea435b31a5879aa153a11f38bf,22673850,118396,16074,0.13576472178114127,2
0xc753288a29596035d071e8ffb4a383cd2128b5f489f7cb20eb3f3cdf6ed25633,22691877,202293,16074,0.07945900253592561,2
0x931fd6be8b8f580f89231ea9f65928d59f1a48203124b3a2ffe2ceab8932b25c,22705228,172942,16074,0.09294445536653907,2
0x23cbaf59c2db95789843f9234e4e79a3e95c413c4d740a6c0a052b60b57193af,22708528,202293,16074,0.07945900253592561,2
0xd2b41c7044b7ae2848135773f721e89a40c593ba393a42c445461e428e89c196,22709231,158763,16074,0.10124525235728728,2
0x9f424d7c61a687635de2daff9a185eafbfb0b0cbd922a8906c1e232005093cfa,22710663,134012,16074,0.11994448258364923,2
0x9346dbc34eaaeecfe7b4cd4cb527ccbd4c72d5d93f2ee7a4ce31413b085753ce,22711212,158775,16074,0.10123760037789324,2
0xf1c18e8fb2b834e5a645e7976a24418258453bf4663fc677c6a991f956ddda90,22715327,197493,16074,0.08139022648904012,2
0x864b397e2cb2014a1366367d68856900f994574b91a0e7e6f8051970e6f219f5,22717106,134024,16074,0.1199337432101713,2
0xa1a381710b7ff32ce8b88177ab6ab5d0df5900921a8aaa431f677ab3f31c82d9,22720930,158775,16074,0.10123760037789324,2
0xdd5feabb05a0e0bd68c7c9bc4569931935f684337330208bc3cbf5c511e23f57,22734256,202293,16074,0.07945900253592561,2
0x58959a456de01ef7dcf31ab280715ca5c8c819c28eb60b3e8f9da32d56e519db,22739590,202281,16074,0.07946371631542261,2
0x74ca817bcc10d95a8ae953e06ab6039265a3a1a3794e9c49ca75b9adcc0ca439,22739819,134012,16074,0.11994448258364923,2
0x41334890ceb9731d3738a66e0dc0621e0d49d20cf08dee48bc9a252ea7460ce3,22740692,235600,16074,0.0682258064516129,2
0xe5571ad2d8e07f0217dce4016b057792cba72f5b0494feb1a9a92d87d3bc8f63,22744255,202305,16074,0.07945428931563728,2
0x367a7bf35e417663a9bf14e610f7382187625ce8406deea1f054e17f20fd213e,22745799,202305,16074,0.07945428931563728,2
0xfe0b0a279809e154aa78cd48d716f76ff316324e08cd31c6ad081491debbb97d,22745953,158775,16074,0.10123760037789324,2
0xf9b8f3cd345aab1462aaac5c126fbe1e4b5d76963dc5a3afa5cdd60bb77224fe,22747400,129188,16074,0.12442332105149086,2
0x32996c76bb77e48b7e33ddb8ac1aa179c0ffdcc6028934971b0ff55cf56019dc,22748089,134012,16074,0.11994448258364923,2
0xdaba032a3b15f57c53f39dd2e10dc84955ef22b9b3443b54655c02c155a87234,22750004,172942,16074,0.09294445536653907,2
0x469676cd7772d2c7bb031f79ee5a23e8a8d1ab598d483ed3ab2981b1c5c637f8,22750017,134012,16074,0.11994448258364923,2
